"Region","Player","Payout","RawPowerPoints"
"Europe","E11 Stompy","243830","17597.90"
"Europe","E11 Tschiiinken","231230","16910.45"
"Europe","COOLER aquaㅤㅤ","230830","17499.99"
"Europe","NRG benjуfishу","187350","18583.72"
"Europe","Atlantis Mitr0","173150","18424.41"
"Europe","Secret_Mongraal","171700","18065.00"
"Europe","Xypher Endretta","96120","16275.56"
"Europe","RBK Ritz","84770","16006.81"
"Europe","Gambit Pate1k","83845","15328.68"
"Europe","Fnatic Verox","61480","15590.02"
"Europe","Fnatic Motor","59930","15857.48"
"Europe","E11 Boyer","58580","15842.06"
"Europe","hREDS BELAEU","57280","19599.76"
"Europe","Gambit.letw1k3","52775","12785.24"
"Europe","G2 Tohaj","51955","18652.41"
"Europe","Gambit.fwexY","51825","13216.02"
"Europe","Kaxie","51400","18505.32"
"Europe","Secret_Domentos","47425","13005.37"
"Europe","Solary Kinstaar","38300","11595.69"
"Europe","LeStream Skite","36725","11329.09"
"Europe","Solary Airwaks","34910","11359.09"
"Europe","Solary Nîkof","33710","11251.54"
"Europe","Solary Hunter","33700","11123.92"
"Europe","LeStream Vato","33285","11801.56"
"Europe","VHV Crue","32770","19482.92"
"Europe","Secret Osmo","31920","8576.27"
"Europe","VHV Chapix","31570","19129.70"
"Europe","Klusiabtw","31060","16712.09"
"Europe","FaZe Vorwenn","30870","10461.80"
"Europe","Fnatic Pr0vоkd","30820","11383.12"
"Europe","SNG Th0masHD","29860","16624.09"
"Europe","NRG MrSavageM","28970","14820.57"
"Europe","Noward.","28720","10543.94"
"Europe","Aresfishy","27520","8811.55"
"Europe","Kylixfishy","27420","8966.87"
"Europe","luKi tjk","24055","16036.30"
"Europe","Rojο","23180","17693.82"
"Europe","elokratz","22185","15337.81"
"Europe","Kiryache32","20405","10395.82"
"Europe","Erouce","19850","6734.80"
"Europe","Smileуу","19580","16223.25"
"Europe","Not BadSniper","19015","16320.79"
"Europe","artor.","17905","16179.74"
"Europe","nqyte","17535","15956.80"
"Europe","Wolfiеz","17370","7676.13"
"Europe","Atlantis Magin","17110","15837.79"
"Europe","сrr","16780","12138.21"
"Europe","LG beehive","16545","18592.65"
"Europe","Atlantis K1nzell","15625","11533.92"
"Europe","CREAM Belvid","15110","14658.74"
"Europe","KоngTV","14830","9957.87"
"Europe","E11 itemm","14705","16693.82"
"Europe","RBK LeftEye","14640","13297.54"
"Europe","frеemok","14380","9559.87"
"Europe","Slide Clement","14370","14971.22"
"Europe","Secret_Milan","14300","11251.27"
"Europe","TrainH Robabz","14125","14909.47"
"Europe","TrainH BlastRR","13720","9660.83"
"Europe","zull-","13410","6792.76"
"Europe","Atlantis Flikk","12925","7711.81"
"Europe","MCES Andilex","12460","13379.73"
"Europe","SNG Trippernn","12340","13292.50"
"Europe","Siberia123","12080","7068.45"
"Europe","Atlantis Lеtshe","12070","6604.80"
"Europe","TrainH Falconly","12005","13712.99"
"Europe","Star Troqz","11845","8506.09"
"Europe","Eon RedRush","11785","13096.15"
"Europe","hoppy ツ","11460","13127.54"
"Europe","RBK Zyppaan","11310","13574.67"
"Europe","Atlantis kejseR","11270","13104.38"
"Europe","hawkеrs","11190","9928.83"
"Europe","VHV IDrop","11170","8411.79"
"Europe","TrainH Alphaa","11120","8954.99"
"Europe","MCES Orkh","11010","12789.84"
"Europe","Lootboy Skram","11010","9124.24"
"Europe","Vitаlity Keolys","10940","9355.53"
"Europe","LeStream TheVic","10925","15086.91"
"Europe","Stormyrite -.-","10905","6987.32"
"Europe","Fledermoys","10890","8615.29"
"Europe","Lootboy Mexe","10760","9356.52"
"Europe","Gambit Toose","10720","7972.18"
"Europe","forZe Putrick","10580","6304.64"
"Europe","Nøahreyli","10490","5354.75"
"Europe","BTL Orange","10360","9862.58"
"Europe","M10 Pepper","10080","7407.66"
"Europe","TTVImTh3Beast","9935","9605.65"
"Europe","tickle FN","9485","4634.28"
"Europe","Eon wakie","9485","10252.34"
"Europe","dMIND.teeq","9405","8071.68"
"Europe","Nate -iwnl-","9335","9782.00"
"Europe","lolb0om","9330","8407.11"
"Europe","ÐRG","9280","7856.38"
"Europe","ViaR Refsgaard","9255","9913.41"
"Europe","Skāilereu","9250","9305.31"
"Europe","Umplify","9145","8984.30"
"Europe","Ghost Kamo","9005","7365.64"
"Europe","COOLER Nyhrox","8980","7437.29"
"Europe","GO Deаdrа","8920","12333.19"
"Europe","LOST Razee","8885","7600.06"
"Europe","MCES SqualzK","8885","11529.19"
"Europe","MarkusC_","8690","12415.59"
"Europe","M10 Harmii","8630","6236.65"
"Europe","BTL Xoxo","8600","11725.10"
"Europe","Mіro","8545","7819.50"
"Europe","Matsoe","8430","6049.00"
"Europe","zemee","8380","7682.52"
"Europe","GW EMXXRR","8285","10203.05"
"Europe","Gambit Mawakha","8240","9389.49"
"Europe","Anas0452","8200","0.00"
"Europe","TTVCoreGamingg","8180","7843.19"
"Europe","Melside","8040","9583.03"
"Europe","a1ms0nz-","7890","8815.39"
"Europe","LeStream Blaxou","7885","7523.29"
"Europe","13UP NyXinjo","7870","13252.69"
"Europe","ViaR Haxcore","7855","8233.25"
"Europe","AGO JarkoS","7820","4686.80"
"Europe","BTL 4zr","7750","8180.81"
"Europe","Jjεssε","7705","6951.19"
"Europe","0161 scolly","7685","9052.61"
"Europe","E11 Crippa","7660","11066.30"
"Europe","Evade Magnus","7635","10099.43"
"Europe","Gambit AstroSMZ","7630","8522.21"
"Europe","x8fn.","7615","8289.65"
"Europe","villager krejz","7575","8510.61"
"Europe","Atlantis Tuckz","7515","4942.97"
"Europe","іmage.","7450","8305.54"
"Europe","Sy Magl","7410","10240.95"
"Europe","Evade Nebby","7335","10570.00"
"Europe","Stārlyeu","7250","9385.52"
"Europe","Merijn -_-","7210","8022.69"
"Europe","Hanckee","7170","2886.17"
"Europe","drobban qq","7130","7374.16"
"Europe","nikkeva","7080","6266.92"
"Europe","GL Darkorino","7060","8910.47"
"Europe","DollarC","6885","8681.84"
"Europe","Lnuef","6770","8749.20"
"Europe","Dealersz","6760","9291.64"
"Europe","Cāpseu 220dmg","6750","8564.33"
"Europe","jayka.","6655","4744.27"
"Europe","Fnatic smeef","6640","8481.90"
"Europe","VP JAMSIDE","6630","6048.90"
"Europe","WG.VBet AVpro","6610","10312.72"
"Europe","Derox.","6605","5271.36"
"Europe","TrainH Seth","6580","6930.59"
"Europe","Tchub_","6565","4895.26"
"Europe","SNG Bast","6560","9270.22"
"Europe","NoFlex Nakirye","6535","7377.37"
"Europe","TrainH Yagsou","6470","7132.19"
"Europe","COLDY Qvado","6465","5902.97"
"Europe","Evade AddzZ","6455","6262.76"
"Europe","ECV_Cazorla","6450","5573.98"
"Europe","McDaBeast.","6420","8851.36"
"Europe","Tokɑr","6350","7159.84"
"Europe","FRΕNZII","6335","5859.73"
"Europe","mārteeṉeu","6300","2200.53"
"Europe","Kyklos ZQ","6285","8562.87"
