Avg Power Points,#1 Points,#1,#2 Points,#2,#3 Points,#3,#4 Points,#4
"10,476","11766.00","TSM Herrions","10645.00","pitbull d?pi","9810.00","pitbull peace","9682.00","pitbull dabzi"
"12,717","14369.00","boba tea jay","13851.00","l?no","13615.00","little!","9034.00","parm"
"18,788","40064.00","NRG EpikWhale","11978.00","r?hx.","11595.00","NRG Edgey","11516.00","Liquid Cented ??"
"5,690","8365.00","? Dog","5690.00","Au Howdy","4693.00","Au Chris","4011.00","Au Zesty"
"16,707","24928.00","1400 Rhux UwU","24686.00","1400 Pika","9534.00","T1 Persecute","7680.00","1400 Joel"
"6,755","7907.00","Bumboy -a-","6995.00","sl?m","6716.00","n?l?n","5403.00","endothermic18"
"7,830","11811.00","TK Barl","7288.00","thief!","7129.00","snow!","5094.00","Meltze"
"2,664","4603.00","mista xenon","2211.00","reignizzle","2019.00","Wìzz","1822.00","tonesy"
"17,077","28981.00","100T Arkhram1x","19799.00","ren?claF","10394.00","Ghost Sean","9135.00","CLG Symetrical"
"7,690","10077.00","Ghost Aydan","7915.00","Kytrex","7452.00","Fulmer ??","5315.00","jayrosez"
"2,585","3471.00","Au Gosh","2673.00","Au France","2439.00","Au Fate","1756.00","Au Kenshi"
"3,319","4359.00","Dare BarBan","3647.00","Aurum","3140.00","Temple b","2131.00","WOOOOOOOO?D"
"5,275","6746.00","100T Kyzui","5334.00","DomoFN.","4649.00","Sogys TV","4370.00","droppedx2 vic"
"11,457","27650.00","4DRStorm.","7316.00","KNG Maken1x","6256.00","Parallel Frapai","4606.00","Lxdesman"
"4,484","5542.00","LG Devious","4843.00","Parallel Jonny.","4826.00","dad?","2724.00","Parallel Kehnys"
"2,344","3315.00","Scrub-","2751.00","T-Rex Trashy","2387.00","UhSheep","921.00","Nico tf up?"
"2,670","3891.00","spid?yy","3013.00","byelies","2040.00","PRODIGY 9 9 9","1735.00","HaanzeR"
"1,578","2136.00","Proxzy.","1611.00","Au Tyler","1449.00","Au Jace","1117.00","Zinqxz."
"3,410","3810.00","twunks iwnl","3801.00","SMM duke","3180.00","CORTEX .","2849.00","SLIMEZEY"
"743","1999.00","FS Slaya","461.00","FS Zehlo","291.00","FS Decay","221.00","FS Twiko ?? ??"
"822","2307.00","12K Shpookiee","982.00","12K Joqker","0.00","???????","0.00","ig tiny_fn_"
"2,285","3203.00","??leb","2167.00","TR Goldenn","1958.00","ICEDGREG","1812.00","tempest shiro"
"1,592","2204.00","rizzoh II","1938.00","SG Truth","1666.00","SG iRewq","560.00","Synergy Merkz."
"925","1999.00","HMB Hellboy","964.00","Lozu TTV","591.00","7Sin BenPen","147.00","r?spect the s?nd"
"18","36.00","Dementia -a-","35.00","Savceh","0.00","Zeebas -a-","0.00","Sly Chefsito"
